DisplayName;TotalPosts;TotalComments;TotalBadges
Jon Skeet;11354;0;2821
Marc Gravell;6508;0;916
Darin Dimitrov;6057;0;243
Nick Craver;5985;0;229
Hans Passant;5584;0;149
Alex Martelli;5437;0;533
BalusC;5289;0;229
SLaks;4901;0;351
Pekka 웃;4874;0;255
Pascal Thivent;4747;0;196
Ignacio Vazquez-Abrams;4437;0;203
tvanfosson;4369;0;394
marc_s;3987;0;184
JaredPar;3961;0;707
Mark Byers;3855;0;471
VonC;3719;0;361
Gumbo;3622;0;223
bobince;3547;0;232
Sarfraz;3526;0;102
paxdiablo;3478;0;521
John Saunders;3445;0;137
Joel Coehoorn;3339;0;492
Guffa;3335;0;155
Reed Copsey;3241;0;367
Bozho;3172;0;179
S.Lott;3156;0;383
duffymo;3062;0;142
cletus;3060;0;614
Oded;2906;0;219
CommonsWare;2902;0;58
Jonathan Leffler;2807;0;199
ghostdog74;2795;0;42
Greg Hewgill;2781;0;654
Jerry Coffin;2710;0;182
Quassnoi;2663;0;182
gbn;2643;0;99
kennytm;2639;0;322
Matthew Flaschen;2537;0;162
OMG Ponies;2528;0;120
Remus Rusanu;2471;0;89
Aaron Digulla;2452;0;138
Mitch Wheat;2436;0;222
AnthonyWJones;2410;0;130
Quentin;2379;0;134
Andrew Hare;2335;0;373
Stephen C;2308;0;80
skaffman;2226;0;151
Mehrdad Afshari;2213;0;631
Robert Harvey;2177;0;146
Pascal MARTIN;2121;0;185
CMS;2094;0;394
Justin Niessner;2083;0;209
Michael Borgwardt;2010;0;210
Tomalak;1981;0;168
codaddict;1964;0;259
Bill Karwin;1917;0;219
Michael Burr;1904;0;262
HLGEM;1859;0;56
Henk Holterman;1857;0;103
Brian Agnew;1844;0;133
Thorbjørn Ravn Andersen;1823;0;49
Adriaan Stander;1818;0;69
Johannes Schaub - litb;1800;0;537
Craig Stuntz;1792;0;117
meder omuraliev;1763;0;112
Thomas Levesque;1709;0;90
karim79;1690;0;109
rahul;1667;0;92
nickf;1658;0;332
Konrad Rudolph;1649;0;525
Peter Hosey;1626;0;74
unwind;1593;0;197
Gordon;1579;0;84
Amber;1574;0;111
alex;1547;0;152
Tom Hawtin - tackline;1546;0;95
polygenelubricants;1534;0;287
Marcelo Cantos;1521;0;118
sharptooth;1521;0;192
Daniel Vassallo;1517;0;145
MSalters;1509;0;52
caf;1494;0;95
OscarRyz;1489;0;180
Lasse Vågsæther Karlsen;1487;0;267
Brian R. Bondy;1476;0;473
Pointy;1475;0;62
Cade Roux;1468;0;81
kgiannakakis;1464;0;86
leppie;1458;0;99
KM.;1454;0;48
RedFilter;1449;0;83
Sampson;1440;0;163
Andomar;1435;0;62
Felix Kling;1417;0;69
Chuck;1415;0;133
Cheeso;1409;0;131
Dennis Williamson;1408;0;48
Norman Ramsey;1405;0;271
Daniel Roseman;1383;0;60
Joey;1378;0;164
ChrisF;1377;0;94
T.J. Crowder;1377;0;85
Fredrik Mörk;1376;0;125
James Curran;1373;0;170
Greg;1366;0;175
user113716;1362;0;53
Martin York;1358;0;173
James McNellis;1352;0;409
Steve Jessop;1352;0;235
Dimitre Novatchev;1340;0;44
womp;1323;0;146
dirkgently;1304;0;88
Will;1289;0;166
NotMe;1275;0;89
Mark Ransom;1274;0;93
Shiraz Bhaiji;1263;0;46
sbi;1247;0;149
jalf;1246;0;330
Vinko Vrsalovic;1240;0;264
Your Common Sense;1235;0;41
Sinan Ünür;1233;0;178
Martin Smith;1228;0;67
TechZen;1213;0;32
matt b;1206;0;142
MusiGenesis;1202;0;140
Hans Olsson;1195;0;31
Adam Rosenfield;1189;0;250
Ned Batchelder;1186;0;145
ChrisW;1184;0;86
Mitchel Sellers;1182;0;73
Amarghosh;1181;0;56
Bill the Lizard;1181;0;426
Andreas_D;1174;0;33
Andy E;1169;0;91
Fionnuala;1168;0;40
Brian;1166;0;144
Mauricio Scheffer;1166;0;90
Adam Robinson;1164;0;147
Charles Bretana;1159;0;87
deceze;1155;0;70
Peter Lawrey;1154;0;28
Kent Boogaart;1149;0;134
Anton Gogolev;1143;0;124
sepp2k;1133;0;200
erickson;1130;0;175
Nick Johnson;1127;0;80
SQLMenace;1124;0;91
chaos;1122;0;214
Dirk Vollmar;1120;0;128
